----------------------------------------------------
D        L          Media Geo (Top 3)   
1	384               7.079267            
1	1152              7.085133            
1	10240             7.099433            
1	15360             7.104133            
1	40960             7.114399            
1	81920             7.116267            
1	163840            7.116733            
8	384               7.116998            
8	1152              7.162666            
8	10240             7.141133            
8	15360             7.179812            
8	40960             7.211200            
8	81920             7.198165            
8	163840            7.207064            
64	384              7.214566            
64	1152             7.198300            
64	10240            7.384294            
64	15360            7.444165            
64	40960            8.463547            
64	81920            14.544342           
64	163840           16.347867           
512	384             7.992596            
512	1152            7.812936            
512	10240           16.123348           
512	15360           17.536295           
512	40960           17.386057           
512	81920           17.566163           
512	163840          17.560171           
4096	384            7.529159            
4096	1152           18.864945           
4096	10240          31.452918           
4096	15360          31.880445           
4096	40960          32.318703           
4096	81920          32.577793           
4096	163840         32.616887           
