----------------------------------------------------
D        L          Media Geo (Top 3)   
1	384               6.753866            
1	1152              6.775892            
1	10240             6.783000            
1	15360             6.787633            
1	40960             6.794266            
1	81920             6.783867            
1	163840            6.787533            
8	384               6.780831            
8	1152              6.842900            
8	10240             6.838090            
8	15360             6.866630            
8	40960             6.872230            
8	81920             6.874266            
8	163840            6.875567            
64	384              7.252598            
64	1152             7.215100            
64	10240            7.500428            
64	15360            7.506837            
64	40960            7.489580            
64	81920            8.363505            
64	163840           15.502928           
512	384             7.254687            
512	1152            7.565996            
512	10240           8.210518            
512	15360           13.166212           
512	40960           15.607153           
512	81920           16.226762           
512	163840          16.658473           
4096	384            7.547027            
4096	1152           7.542433            
4096	10240          23.821695           
4096	15360          24.278197           
4096	40960          25.076833           
4096	81920          25.176699           
4096	163840         25.344146           
