----------------------------------------------------
D        L          Media Geo (Top 3)   
1	384               7.059400            
1	1152              7.070967            
1	10240             7.084267            
1	15360             7.087866            
1	40960             7.117797            
1	81920             7.113133            
1	163840            7.111867            
8	384               6.963700            
8	1152              7.072900            
8	10240             7.108488            
8	15360             7.101999            
8	40960             7.218400            
8	81920             7.243466            
8	163840            7.239300            
64	384              7.046698            
64	1152             7.107933            
64	10240            7.161033            
64	15360            7.199275            
64	40960            7.952186            
64	81920            13.372432           
64	163840           15.434440           
512	384             7.372736            
512	1152            7.235366            
512	10240           13.803812           
512	15360           15.131728           
512	40960           16.753907           
512	81920           17.061751           
512	163840          17.268033           
4096	384            7.137284            
4096	1152           17.845166           
4096	10240          31.567927           
4096	15360          31.833581           
4096	40960          32.668894           
4096	81920          32.681626           
4096	163840         32.895678           
